,x-value40,MH40_in_shelter,MH40_doorway,MH40_with_pellet,MH40_eat_pellet,MH40_freeze,MH40_reaching,MH40_scanning,MH40_stim
30670,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30671,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30674,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30676,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30677,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30678,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30680,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30681,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30683,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30684,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30686,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30687,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30688,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30689,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30690,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30691,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30692,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30694,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30695,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30698,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30699,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30700,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30701,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30703,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30707,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30709,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30710,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30711,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30712,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30713,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30719,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30720,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30721,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30722,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30723,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30724,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30725,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30726,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30729,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30730,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30731,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30732,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30733,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30735,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30738,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30739,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30740,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30741,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30743,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30745,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30746,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30747,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30748,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30749,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30750,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30751,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30752,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30753,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30754,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30755,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30756,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30757,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30759,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30760,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30761,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30762,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30763,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30765,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30766,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30767,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30768,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30770,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30771,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30772,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30773,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30774,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30775,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30776,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30777,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30779,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30780,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30781,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30782,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30783,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30784,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30785,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30787,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30789,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30790,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30791,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30792,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30794,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30796,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30797,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30798,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30799,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30800,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30801,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30802,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30803,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30807,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30808,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30809,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30810,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30811,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30814,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30815,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30818,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30819,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30820,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30821,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30822,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30824,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30825,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30826,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30828,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30829,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30830,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30831,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30832,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30833,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30834,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30836,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30837,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30838,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30840,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30841,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30842,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30844,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30847,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30848,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30849,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30850,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30851,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30852,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30853,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30854,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30855,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30859,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30860,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30861,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30863,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30865,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30867,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30869,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30870,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30872,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30874,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30876,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30877,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30878,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30879,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30880,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30881,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30882,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30884,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30886,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30887,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30890,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30891,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30892,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30893,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30895,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30896,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30898,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30899,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30900,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30901,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30902,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30904,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30905,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30906,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30907,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30908,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30909,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30910,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30911,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30918,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30919,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30920,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30921,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30922,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30923,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30924,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30926,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30928,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30929,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30930,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30931,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30933,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30934,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30935,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30938,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30939,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30940,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30941,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30942,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30943,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30945,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30946,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30947,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30948,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30949,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30950,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30951,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30954,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30955,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30956,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30958,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30959,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30960,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30966,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30970,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30971,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30972,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30973,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30974,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30975,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30976,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30977,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30978,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30979,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30990,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30991,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31020,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
